"title","date","text","url"
"Нардепа Одарченка засудили до восьми років в’язниці за спробу підкупу голови Держвідновлення","2024-11-14 13:50:53","Вищий антикорупційний суд визнав народного депутата від «Слуги народу» Андрія Одарченка винним у спробі підкупити за біткоїни ексголову Держагентства з відновлення Мустафу Найєма. Суддя призначив нардепу вісім років позбавлення волі. Таке рішення ухвалили на сьогоднішньому засіданні. Це перший випадок, коли антикорупційні органи зафіксували хабар у криптовалюті. Сторона захисту стверджувала, що без провокації з боку Найєма злочину б не було. Раніше на допиті в суді Одарченко визнав, що він справді запропонував хабар, але Найєм нібито змусив його це зробити, оскільки переконував, що інакше гроші не виділять. За версією захисників, Найєм ще з 2023 року конфіденційно співпрацює з правоохоронними органами. Захист просив виправдати Одарченка у зв’язку з тим, що немає належних і допустимих доказів наявності в його діях складу злочину. Однак прокурорка зазначила, що про провокацію Одарченко повідомив лише після того, як покинув Україну. На її думку, зафіксовані розмови між ним та Наємом не містять ознак провокації, а Одарченко пропонував хабар Найєму кілька разів. Сторона обвинувачення просила суд про 10 років позбавлення волі для Одарченка з позбавленням права обіймати певні посади та конфіскацією всього майна. 21 листопада 2023 року нардепу Андрію Одарченку повідомили про підозру в спробі підкупу тодішнього глави Державного агентства з відновлення та розвитку інфраструктури України Мустафи Найєма. Ідеться про хабар у криптовалюті Bitcoin в еквіваленті $50 тисяч. Андрій Одарченко наполягає на тому, що звернувся до тодішнього міністра інфраструктури України Олександра Кубракова, щоб з Фонду ліквідації виділити гроші на ремонт будівель Державного біотехнологічного університету, ректором якого на той момент він був. Фігурант справи каже, що саме Кубраков скерував його до тодішнього очільника Держвідновлення Мустафи Найєма. Уже 22 листопада ВАКС України обрав для нардепа запобіжний захід у вигляді тримання під вартою з альтернативою застави в розмірі 15 мільйонів гривень. А 24 листопада за Одарченка внесли заставу. 18 вересня стало відомо, що Одарченко не зʼявився до суду і незаконно виїхав за кордон. 23 вересня ВАКС стягнув заставу, внесену за Одарченка, та заочно арештував його.","https://babel.ua/news/112644-nardepa-odarchenka-zasudili-do-vosmi-rokiv-v-yaznici"
"«Найважливіше на місці обстрілу — людина». Фотограф Георгій Іванченко третій рік документує війну. Ми поговорили про роботу в Бахмуті, першу зустріч зі смертю і чи можна фотографувати загиблих","2024-11-14 13:43:25"," На третій рік війни люди побачили дуже багато — зараз їх значно менше чіпляють болючі світлини з війни. Щоб показувати війну дещо інакше, я почав використовувати спалах — підсвічувати те, що є в тіні. Згодом спробував у ролі обʼєктива використовувати дверне вічко. Це дуже незвично викривлює простір і показує все абсолютно під іншим кутом. Утім, важливо і просто продовжувати знімати війну. Хоча б тому, що за роки ці фото можуть стати документом і фіксацією подій. Я намагаюся фотографувати усі обстріли Харкова, принаймні якщо до місця удару їхати не більше 20 хвилин. Саме тоді на місці «прильоту» відбувається усе найважливіше, кульмінаційне й жахливе: там є поранені, рятувальники. Найважливіше, що треба робити після «прильотів», це рятувати поранених. А з мого боку — зняти це. Бо часто як наслідки прильотів показують розбиті будинки, вирви тощо. Але найважливіше і найжахливіше у цьому всьому — людина. Це показує, що це не просто розтрощена будівля, а людина, жертви. Коли після обстрілу спалахує пожежа, я намагаюся триматися якомога ближче до пожежників. На моєму обʼєктиві немає зуму, тому я маю бути близько, часом — всередині будівлі. Були випадки, коли кімната повністю наповнювалась димом, вихід тимчасово був заблокований, а ми з рятувальниками були без протигазів. Іноді здавалось, можна не вибратись. Втім, лише так можна насправді передати все, показати реальність і людину, яка ліквідовує пожежу. На війні немає чіткої межі між тим, що можна фотографувати, а що ні, — все дуже ситуативно. Фотографувати загиблих після обстрілів — важливо. Питання у тому, чи показувати обличчя загиблої людини. Наприклад, у червні 2024-го я знімав наслідки обстрілу центру Харкова, коли на зупинці загинула жінка. Вона була накрита ковдрою. Я вирішив сфотографувати лише її яскраві червоні туфлі і ноги, які лежали на бордюрі. І цього вже достатньо, аби зрозуміти, що це трагедія. Втім, особисто я не можу знімати поховання. Для мене це щось дуже важливе, але водночас дуже особисте. Фотографувати поранених важливо, навіть якщо людина не дала чіткого дозволу. По-перше, місця «прильоту» чи зона бойових дій — це часто хаос, тому майже неможливо про це запитати. Часто у цьому хаосі достатньо зорового контакту, тобто щоб людина просто візуально ідентифікувала фотографа. По-друге — якщо чекати підтвердження, то таких фотографій просто не існувало б і люди не бачили б того, що відбувається. Звісно ж, не варто фотографувати, якщо прямо просять не знімати, але таких випадків одиниці. Фотографувати війну — важливо, як і писати про неї репортажі, історії та розслідування. Цим ми і займаємось, тому — підтримайте «Бабель»: https://babel.ua/donate","https://babel.ua/texts/112639-nayvazhlivishe-na-misci-obstrilu-lyudina-fotograf-georgiy-ivanchenko-tretiy-rik-dokumentuye-viynu-mi-pogovorili-pro-robotu-v-bahmuti-pershu-zustrich-zi-smertyu-i-chi-mozhna-fotografuvati-zagiblih"
"На Донеччині розслідують убивство мирної жінки окупантами","2024-11-14 13:32:46","На Донеччині розпочали розслідування за фактом вбивства мирної людини окупантами. Про це повідомили в Офісі генерального прокурора України. За попередніми даними, 10 листопада 2024 року на околицях села Терни Лиманської громади російські військові вистрілили в жінку, яка просто йшла вулицею. Вона загинула на місці. Правоохоронці наразі встановлюють усі обставини трагедії та намагаються ідентифікувати загиблу.","https://babel.ua/news/112643-na-donechchini-rozsliduyut-vbivstvo-mirnoji-zhinki-okupantami"
"Міноборони: У ТЦК України працює близько 36 тисяч людей","2024-11-14 13:30:40","У територіальних центрах комплектування та соціальної підтримки (ТЦК та СП) України працює 36 тисяч людей. Про це повідомив речник Міністерства оборони Дмитро Лазуткін в ефірі телемарафону. За його словами, серед цих 36 тисяч майже 7 тисяч — цивільні. Лазуткін додав, що серед військових, які працюють у ТЦК, є також і обмежено придатні, а ще близько 3 тисяч жінок. 12 листопада народна депутатка Юлія Яцик заявила, що тимчасова спеціальна комісія Ради пропонує розформувати ТЦК й створити з їхніх працівників понад 10 бригад для виконання бойових завдань на фронті. Депутатка зазначила, Міністерство оборони вже працює над створенням рекрутингових центрів замість ТЦК. Яцик не уточнила, яку саме кількість співробітників військкоматів пропонується «скоротити» та направити на фронт.","https://babel.ua/news/112642-minoboroni-u-tck-ukrajini-pracyuye-blizko-36-tisyach-lyudey"
"У Німеччині призначили дату дострокових виборів до парламенту","2024-11-14 13:19:31","Президент Німеччини Франк-Вальтер Штайнмаєр погодився з пропозицією парламенту провести дострокові вибори до Бундестагу 23 лютого 2025 року. Про це повідомляє німецький телеканал ZDF. Цю дату президенту напередодні запропонували лідери політичних партій Німеччини, коаліція яких розпалася, та ХДС/ХСС. Опозиційні партії хотіли провести голосування вже в січні 2025-го. Вони стверджували, начебто Німеччина ризикує залишитися без керівництва під час економічної кризи. Однак канцлер Олаф Шольц попередив, що це перевантажить виборні органи в період свят і сезонних захворювань, а партії не будуть підготовлені. Бундестаг працюватиме у звичайному режимі до 16 грудня 2024 року — тоді депутати голосуватимуть за довіру уряду. Якщо результат цього голосування буде негативним, це надасть підстави розпустити парламент. За законом президент ФРН має 21 день після голосування, щоб це зробити. Якщо Бундестаг розпустять, нових депутатів мають обрати не пізніше, ніж через 60 днів. 6 листопада Олаф Шольц відправив у відставку міністра фінансів Крістіана Лінднера, звинувативши його у безвідповідальності, егоїзмі та діях на користь лише його Вільної демократичної партії — вона була однією з трьох в урядовій керівній коаліції. Лінднер заявив, що вільні демократи виходять з коаліції та забирають усіх своїх міністрів. Шольц ухвалив рішення через розбіжності з Лінднером у бюджетній, фінансовій та економічній політиці. Німецькі медіа писали, що трипартійна коаліція не змогла вирішити, що робити з бюджетом на 2025 рік. 7 листопада президент Німеччини Франк-Вальтер Штайнмаєр звільнив трьох урядовців. Це міністр фінансів Крістіан Лінднер, міністр юстиції Марко Бушманн і міністр освіти Беттіні Штарк-Ватцінгер. Розпад коаліції в Німеччині може дестабілізувати політичну ситуацію. Криза також може посилити опозиційні партії, зокрема проросійську «Альтернативу для Німеччини». АдН має антимігрантську риторику, виступає за збереження «традиційних цінностей», а ще критикує ЄС і допомогу Україні. Президент Франк-Вальтер Штайнмаєр оголосив про готовність до проведення дострокових виборів. Агентство Reuters писало, що Німеччина зможе надати більшу частину з €4 мільярдів, обіцяних Україні, навіть якщо бюджет на 2025 рік не буде затверджений вчасно після розпаду коаліційного уряду. Канцлер Німеччини Олаф Шольц заявляв, що готовий провести голосування в парламенті щодо вотуму довіри до свого уряду ще до Різдва. Цього ж місяця члени Соціал-демократичної партії Німеччини (СДПН) канцлера Олафа Шольца закликали його не балотуватися на посаду повторно. Це начебто необхідно, щоб політсила не програла на дострокових виборах.","https://babel.ua/news/112641-u-nimechchini-priznachili-datu-dostrokovih-viboriv-do-parlamentu"
"Китайські хакери шпигували за американськими політиками","2024-11-14 13:11:37","Федеральне бюро розслідувань США (ФБР) виявило «широку та значну» кібершпигунську кампанію китайського уряду, спрямовану на викрадення інформації в американських політиків. Про це в середу повідомило ФБР, передає Associated Press. Китайські хакери зламали мережі кількох телекомунікаційних компаній, щоб отримати записи про дзвінки клієнтів і доступ до приватних повідомлень «обмеженої кількості людей», заявляють ФБР і Агентство з кібербезпеки і захисту інфраструктури США. ФБР не змогло точно визначити людей, на яких були націлені хакери, однак зазначило, що більшість мішеней «передусім брали участь в урядовій чи політичній діяльності». Кіберзлочинці також намагалися скопіювати «певну інформацію, яка була предметом запитів правоохоронних органів США за рішеннями суду». У ФБР припускають, що хакери, можливо, намагалися зламати програми, які підпадають під дію Закону про нагляд за іноземною розвідкою, який надає американським шпигунським службам широкі повноваження стежити за повідомленнями підозрюваних у шпигунстві на користь іноземної держави. Ця заява надійшла після кількох резонансних хакерських атак, які влада США пов’язала з Китаєм. За словами американських посадовців, ці інциденти частково були намаганнями Китаю викрасти технологічну та державну інформацію, а також націлитися на життєво важливу інфраструктуру, як-от електричну мережу. Китай відкинув звинувачення американських посадовців у кібершпигунстві.","https://babel.ua/news/112640-kitayski-hakeri-shpiguvali-za-amerikanskimi-politikami"
"DeepState написав, що колона росіян заїхала в Купʼянськ. У ЗСУ спростовують","2024-11-14 12:01:24","Інформація про окупацію села Іллінка на Донеччині та перебування військ РФ у місті Купʼянськ на Харківщині не відповідає дійсності. Про це повідомив Центр стратегічних комунікацій ЗСУ. «Куп’янськ повністю під контролем Сил оборони України. Населений пункт Іллінка Донецької області також перебуває під українським контролем. На його околицях постійно тривають бої з ворогом, але наші підрозділи міцно тримають позиції» — йдеться в повідомленні. Генштаб ЗСУ раніше повідомляв, що 13 листопада, починаючи з 14:30, російські окупанти здійснили спробу прорвати оборону на Купʼянському напрямку. Штурмові групи атакували позиції українських захисників у чотири хвилі. Загалом ворог задіяв близько 15 одиниць техніки. Зокрема танки, бойові броньовані машини та установку розмінування УР-77. При цьому частина російських солдатів була переодягнена у форму зразка Збройних сил України, що порушує закони та правила ведення війни і є воєнним злочином. «Вмілими та рішучими діями наші захисники зупинили ворога, знищили всю його бронетехніку та ліквідували значну частину живої сили», — йшлось у повідомленні. Ввечері того ж дня проєкт DeepState написав, що дві колони ворожої техніки висунулися з району Лиману Першого в Купʼянськ до траси на Сватове. Першу колону розбили в лісі, а другій начебто вдалось безперешкодно доїхати в район вулиці Сватівська. Однак коли вони виїхали на вулицю Некрасова, там їх атакували Сили оборони. «Завдяки зусиллям БпАК 116 ОМБр, 14 ОМБр та суміжників вдалося знищити частину десанту», — повідомили в проєкті. А вночі проєкт повідомив про окупацію Іллінки.","https://babel.ua/news/112638-deepstate-napisav-shcho-kolona-rosiyan-zajihala-v-kup-yansk-u-zsu-sprostovuyut"
"«Ми були раді бачити один одного». Трамп розповів New York Post про зустріч з Байденом","2024-11-14 11:06:09","Обраний президент Дональд Трамп розповів, як пройшла його вчорашня післявиборна зустріч із 46-м президентом США Джо Байденом у Білому домі. Він зазначив, що вони «були дуже раді бачити один одного». Про це він повідомив у коментарі New York Post. «Ви знаєте, це була довга, довга й виснажлива праця. Багато роботи зробили обидві сторони, і він зробив дуже хорошу роботу щодо кампанії і всього іншого. Ми ніби познайомилися знову», — розповів 78-річний обраний президент США. Трамп і Байден, серед іншого, обговорювали перехід влади 20 січня. Обраний президент запевнив Байдена, що це відбудеться «настільки мʼяко, наскільки це тільки можливо» після спроби республіканців оскаржити результати чотири роки тому зі штурмом Капітолія 6 січня 2021 року. Коментуючи процес відбору посадовців на свій другий термін, Трамп зазначив, що «все проходить дуже гладко», додавши, що між перехідною командою Республіканської партії та Білим домом Байдена «дуже, дуже хороші стосунки». Обраний президент підтвердив, що вони з Байденом обговорювали два питання, щодо яких у них були розбіжності в минулому: війну в Україні, яку Трамп пообіцяв припинити майже відразу після вступу на посаду, а також війну на Близькому Сході. «Я хотів, і я запитав про його погляди. Він мені дав відповідь. Також ми багато говорили про Близький Схід. Я хотів знати його погляди щодо того, на якому етапі ми перебуваємо і що він взагалі думає. І він мені розповів, він був дуже любʼязним», — сказав Трамп. Трамп також повідомив, що вони з Байденом очікують знову побачити один одного безпосередньо перед його інавгурацією. Чинний президент-демократ уже заявив, що буде присутній. «Овальний кабінет такий гарний, і я, звісно, з нетерпінням чекаю на своє повернення», — сказав Трамп.","https://babel.ua/news/112636-mi-buli-radi-bachiti-odne-odnogo-tramp-rozpoviv-new-york-post-pro-zustrich-z-baydenom"
"Bloomberg: Перемога Трампа змусить Південну Корею переглянути плани щодо постачання зброї Україні","2024-11-14 10:04:30","Перемога Дональда Трампа на виборах президента США змушує Південну Корею переосмислити можливість відправки зброї в Україну. Про це пише Bloomberg із посиланням на джерела. За словами співрозмовника агентства, уряд президента Південної Кореї Юн Сок Йоля змушений враховувати позицію новообраного президента США, щоб вирішити, чи варто змінювати свою давню політику відмови від надання летальної допомоги Києву. За словами іншого урядовця, Сеул також вивчає, як підхід Трампа до війни вплине на підтримку України з боку низки країн. Як вважають журналісти Bloomberg, ці коментарі свідчать про те, що Південна Корея зараз менш схильна відправляти боєприпаси в Україну, якщо КНДР не вживатиме подальших заходів або якщо не буде більшої ясності щодо того, як Трамп діятиме щодо України. «Для Південної Кореї, яка навіть не є членом НАТО, було б досить незручно втрутитися в цей момент, якщо Трамп займе Білий дім і захоче вийти з конфлікту», — сказав Кім Юн, професор політології в Університеті північнокорейських досліджень у Сеулі. В офісі президента Південної Кореї заявили, що уряд вивчить можливі сценарії військового співробітництва між Росією і Північною Кореєю після розгортання військ Пхеньяном і вживатиме контрзаходів. «Ми будемо тісно координувати свої дії з нашим союзником і партнерами в цьому процесі», — йдеться в заяві у відповідь на запитання агентства Bloomberg про останні роздуми Південної Кореї щодо відправки зброї в Україну.","https://babel.ua/news/112635-bloomberg-peremoga-trampa-zmusit-pivdennu-koreyu-pereglyanuti-plani-shchodo-postachannya-zbroji-ukrajini"
"Сили ППО збили 21 з 59 дронів, які Росія вночі запустила по Україні","2024-11-14 08:55:51","У ніч проти 14 листопада Росія атакувала Україну, запустивши 59 дронів. Про це повідомляє пресслужба Повітряних сил ЗСУ. Безпілотники Shahed та дрони невстановленого типу росіяни запускали з району Курська. Станом на 08:30 підтверджено збиття 21 БпЛА у Сумській, Харківській, Полтавській та Київській областях. Ще 38 ворожих безпілотників локаційно втрачено.","https://babel.ua/news/112634-sili-ppo-zbili-21-z-59-droniv-yaki-rosiya-vnochi-zapustila-po-ukrajini"
